
****************************** FastFind 2.2 (c)FastFrench 2013 ********
		Started  Wed Jun 14 13:09:33 2017

             4.377mS|ChangeMode(231) => m_bDebugGraphique=1, m_DebugModeTxt=  E3
            96.479µS|FFGetPixel(x:1971, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.531µS|FFGetPixel(x:1972, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.300µS|FFGetPixel(x:1973, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1974, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1975, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1976, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.531µS|FFGetPixel(x:1977, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1978, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1979, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1980, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.300µS|FFGetPixel(x:1981, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           253.718µS|FFGetPixel(x:1982, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           165.450µS|FFGetPixel(x:1983, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           169.967µS|FFGetPixel(x:1984, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           167.093µS|FFGetPixel(x:1985, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           160.524µS|FFGetPixel(x:1986, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           167.914µS|FFGetPixel(x:1987, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           169.967µS|FFGetPixel(x:1988, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           170.788µS|FFGetPixel(x:1989, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           182.693µS|FFGetPixel(x:1990, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           166.682µS|FFGetPixel(x:1991, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           193.778µS|FFGetPixel(x:1992, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           174.072µS|FFGetPixel(x:1993, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           131.375µS|FFGetPixel(x:1994, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.300µS|FFGetPixel(x:1995, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           100.995µS|FFGetPixel(x:1996, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            99.352µS|FFGetPixel(x:1997, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.300µS|FFGetPixel(x:1998, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.068µS|FFGetPixel(x:1999, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:2000, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           142.184mS|FFGetPixel(x:1921, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            84.162µS|FFGetPixel(x:1922, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.130µS|FFGetPixel(x:1923, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:1924, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1925, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:1926, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            74.720µS|FFGetPixel(x:1927, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1928, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:1929, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1930, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1931, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.951µS|FFGetPixel(x:1932, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           162.577µS|FFGetPixel(x:1933, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            74.309µS|FFGetPixel(x:1934, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1935, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1936, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.541µS|FFGetPixel(x:1937, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1938, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1939, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1940, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1941, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1942, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1943, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.541µS|FFGetPixel(x:1944, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1945, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1946, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1947, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1948, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1949, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:1950, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.541µS|FFGetPixel(x:1951, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            72.667µS|FFGetPixel(x:1952, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1953, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1954, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1955, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1956, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.130µS|FFGetPixel(x:1957, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1958, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1959, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1960, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1961, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1962, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1963, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           220.874µS|FFGetPixel(x:1964, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.130µS|FFGetPixel(x:1965, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:1966, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1967, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            76.362µS|FFGetPixel(x:1968, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1969, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1970, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1971, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1972, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1973, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           119.059µS|FFGetPixel(x:1974, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           121.111µS|FFGetPixel(x:1975, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           104.279µS|FFGetPixel(x:1976, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            76.362µS|FFGetPixel(x:1977, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1978, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            76.362µS|FFGetPixel(x:1979, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:1980, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1981, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:1982, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           100.584µS|FFGetPixel(x:1983, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           124.396µS|FFGetPixel(x:1984, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           130.554µS|FFGetPixel(x:1985, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           126.859µS|FFGetPixel(x:1986, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           127.680µS|FFGetPixel(x:1987, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           133.017µS|FFGetPixel(x:1988, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           129.322µS|FFGetPixel(x:1989, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           129.733µS|FFGetPixel(x:1990, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           129.733µS|FFGetPixel(x:1991, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           134.659µS|FFGetPixel(x:1992, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           130.554µS|FFGetPixel(x:1993, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           128.501µS|FFGetPixel(x:1994, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           247.970µS|FFGetPixel(x:1995, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           130.143µS|FFGetPixel(x:1996, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           264.803µS|FFGetPixel(x:1997, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           149.029µS|FFGetPixel(x:1998, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           134.249µS|FFGetPixel(x:1999, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           133.428µS|FFGetPixel(x:2000, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           136.712µS|FFGetPixel(x:2001, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           133.838µS|FFGetPixel(x:2002, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           131.375µS|FFGetPixel(x:2003, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           130.965µS|FFGetPixel(x:2004, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           137.944µS|FFGetPixel(x:2005, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           131.786µS|FFGetPixel(x:2006, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           130.965µS|FFGetPixel(x:2007, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           136.302µS|FFGetPixel(x:2008, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           131.786µS|FFGetPixel(x:2009, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           133.428µS|FFGetPixel(x:2010, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           133.017µS|FFGetPixel(x:2011, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           147.386µS|FFGetPixel(x:2012, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           119.059µS|FFGetPixel(x:2013, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           144.513µS|FFGetPixel(x:2014, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.531µS|FFGetPixel(x:2015, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           150.671µS|FFGetPixel(x:2016, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           100.173µS|FFGetPixel(x:2017, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           113.311µS|FFGetPixel(x:2018, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            92.784µS|FFGetPixel(x:2019, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            77.183µS|FFGetPixel(x:2020, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           125.627µS|FFGetPixel(x:2021, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
             1.065mS|FFGetPixel(x:2022, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            85.804µS|FFGetPixel(x:2023, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.130µS|FFGetPixel(x:2024, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            74.309µS|FFGetPixel(x:2025, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           190.494µS|FFGetPixel(x:2026, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            74.309µS|FFGetPixel(x:2027, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:2028, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2029, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2030, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            76.362µS|FFGetPixel(x:2031, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2032, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:2033, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2034, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2035, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:2036, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.951µS|FFGetPixel(x:2037, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2038, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2039, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:2040, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2041, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.898µS|FFGetPixel(x:2042, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2043, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.541µS|FFGetPixel(x:2044, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2045, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2046, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2047, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2048, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2049, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            75.541µS|FFGetPixel(x:2050, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2051, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2052, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2053, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2054, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2055, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2056, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           126.038µS|FFGetPixel(x:2057, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            74.309µS|FFGetPixel(x:2058, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:2059, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:2060, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.488µS|FFGetPixel(x:2061, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            73.077µS|FFGetPixel(x:2062, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
